calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/24/2011,8/24/11 15:01,215,thankyou.wav,1030007,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:01,10,announcement.wav,1030010,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:10,N/A,N/A,1030011,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:10,215,thankyou.wav,1030014,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:10,170,08-24-2011_105411.mp3,1030015,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:10,215,thankyou.wav,1030019,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:10,215,thankyou.wav,1030022,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:10,N/A,N/A,1030028,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:10,215,thankyou.wav,1030021,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:10,5,welcome.wav,1030018,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:11,215,thankyou.wav,1030023,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:11,215,thankyou.wav,1030023,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:11,207,thankyou.wav,1030026,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:20,N/A,N/A,1031008,PIPLIYA (DHORA),2,8,24,11
1,8/24/2011,8/24/11 15:20,N/A,N/A,1031007,PIPLIYA (DHORA),2,8,24,11
1,8/24/2011,8/24/11 15:20,N/A,N/A,1031006,PIPLIYA (DHORA),2,8,24,11
1,8/24/2011,8/24/11 15:20,206,thankyou.wav,1031003,PIPLIYA (DHORA),2,8,24,11
1,8/24/2011,8/24/11 15:20,215,thankyou.wav,1030038,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:20,97,08-24-2011_105411.mp3,1030029,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:21,120,08-24-2011_105411.mp3,1031012,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 15:21,215,thankyou.wav,1031009,PIPLIYA (DHORA),2,8,24,11
1,8/24/2011,8/24/11 15:21,214,thankyou.wav,1030032,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:21,206,thankyou.wav,1031010,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 15:30,N/A,N/A,1031016,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 15:30,N/A,N/A,1031026,PIPLIYA (DHORA),2,8,24,11
1,8/24/2011,8/24/11 15:30,N/A,N/A,1031021,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 15:31,215,thankyou.wav,1031020,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 15:31,215,thankyou.wav,1031025,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 15:31,215,thankyou.wav,1031024,PIPLIYA (DHORA),1,8,24,11
